Time,Sensor,Bubble
2022-12-15 14:31:20.729297,0,AIR
2022-12-15 14:31:21.386002,0,LIQUID
2022-12-15 14:31:29.732048,0,AIR
2022-12-15 14:31:29.945552,0,LIQUID
2022-12-15 14:31:35.185823,0,LIQUID
2022-12-15 14:31:48.248652,0,AIR
2022-12-15 14:31:48.907088,0,LIQUID
2022-12-15 14:31:57.239561,0,AIR
2022-12-15 14:31:57.453097,0,LIQUID
2022-12-15 14:32:02.845398,0,LIQUID
2022-12-15 14:32:02.956204,0,LIQUID
2022-12-15 14:32:04.329661,0,LIQUID
2022-12-15 14:32:14.404922,0,LIQUID
2022-12-15 14:32:15.815899,0,AIR
2022-12-15 14:32:16.463885,0,LIQUID
2022-12-15 14:32:24.770403,0,AIR
2022-12-15 14:32:24.980257,0,LIQUID
2022-12-15 14:32:25.478714,0,LIQUID
2022-12-15 14:32:30.308478,0,LIQUID
2022-12-15 14:32:43.365743,0,AIR
2022-12-15 14:32:44.002842,0,LIQUID
2022-12-15 14:32:52.289184,0,AIR
2022-12-15 14:32:52.495776,0,LIQUID
2022-12-15 14:32:57.746887,0,LIQUID
2022-12-15 14:32:57.855677,0,LIQUID
2022-12-15 14:32:58.257378,0,LIQUID
2022-12-15 14:33:10.773612,0,AIR
2022-12-15 14:33:11.414281,0,LIQUID
2022-12-15 14:33:19.809645,0,AIR
2022-12-15 14:33:20.018302,0,LIQUID
2022-12-15 14:33:25.354794,0,LIQUID
2022-12-15 14:33:25.468219,0,LIQUID
2022-12-15 14:33:25.590591,0,LIQUID
2022-12-15 14:33:25.711488,0,LIQUID
2022-12-15 14:33:25.839021,0,LIQUID
2022-12-15 14:33:38.269120,0,AIR
2022-12-15 14:33:38.894345,0,LIQUID
2022-12-15 14:33:47.309556,0,AIR
2022-12-15 14:33:47.513162,0,LIQUID
2022-12-15 14:33:52.917644,0,AIR
2022-12-15 14:33:53.138126,0,LIQUID
2022-12-15 14:33:53.244072,0,LIQUID
2022-12-15 14:34:05.814257,0,AIR
2022-12-15 14:34:06.435531,0,LIQUID
2022-12-15 14:34:14.840538,0,AIR
2022-12-15 14:34:15.041874,0,LIQUID
2022-12-15 14:34:20.423951,0,LIQUID
2022-12-15 14:34:20.842120,0,LIQUID
2022-12-15 14:34:33.058486,0,AIR
2022-12-15 14:34:33.686810,0,LIQUID
2022-12-15 14:34:41.655079,0,AIR
2022-12-15 14:34:41.858675,0,LIQUID
2022-12-15 14:34:47.280862,0,LIQUID
2022-12-15 14:34:47.498070,0,AIR
2022-12-15 14:34:59.861006,0,AIR
2022-12-15 14:35:00.485948,0,LIQUID
2022-12-15 14:35:08.446364,0,AIR
2022-12-15 14:35:08.647722,0,LIQUID
2022-12-15 14:35:13.981929,0,LIQUID
2022-12-15 14:35:14.352058,0,LIQUID
2022-12-15 14:35:14.476528,0,AIR
2022-12-15 14:35:26.591058,0,AIR
2022-12-15 14:35:27.218976,0,LIQUID
2022-12-15 14:35:35.212395,0,AIR
2022-12-15 14:35:35.415124,0,LIQUID
2022-12-15 14:35:40.769928,0,LIQUID
2022-12-15 14:35:40.887828,0,LIQUID
2022-12-15 14:35:41.049168,0,LIQUID
2022-12-15 14:35:41.242997,0,LIQUID
2022-12-15 14:35:53.307713,0,AIR
2022-12-15 14:35:53.929666,0,LIQUID
2022-12-15 14:36:01.911671,0,AIR
2022-12-15 14:36:02.112882,0,LIQUID
2022-12-15 14:36:07.418955,0,LIQUID
